1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,H,0,0,0,H,0,0,0,0,0,1
1,0,0,H,H,H,0,0,0,0,0,H,H,H,0,0,1
1,0,0,H,0,H,H,0,0,0,H,H,0,H,0,0,1
1,0,0,H,H,0,0,0,0,0,0,0,H,H,0,0,1
1,0,H,0,H,0,0,0,0,0,0,0,H,0,H,0,1
1,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,1
1,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,2
2,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,2
2,0,H,0,H,0,0,0,0,0,0,0,H,0,H,0,2
2,0,0,H,H,0,0,0,0,0,0,0,H,H,0,0,2
2,0,0,H,0,H,H,0,0,0,H,H,0,H,0,0,2
2,0,0,H,H,H,0,0,0,0,0,H,H,H,0,0,2
2,0,0,0,0,0,H,0,0,0,H,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
