1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4
4,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,3
3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4
4,5,H,5,5,5,H,5,5,5,H,5,5,5,H,5,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,H,H,H,H,H,H,H,H,H,H,H,H,H,0,3
3,0,H,0,0,0,0,0,0,0,0,0,0,0,H,0,4
4,0,H,H,H,H,H,H,H,H,H,H,H,H,H,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,6,H,6,6,6,H,6,6,6,H,6,6,6,H,6,3
3,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,4
4,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,3
3,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,4
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
